# BEAST v1.7.0 Prerelease r4143, r4143
# Generated Fri Jul 14 08:12:49 BST 2017 [seed=1500016368217]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(obscura_root)	tmrca(paralog_armi)	yule.birthRate	CP1+2.kappa	CP3.kappa	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	CP1+2.treeLikelihood	CP3.treeLikelihood	speciation
200000	-60956.9895987571	-219.29203496077486	-60737.697563796326	0.9981837123191583	0.9981837123191583	0.06597799717515057	4.646172176424376	1.7415121815643497	3.844631884382076	0.4702604988490686	3.7329019806596317	0.547685604122774	1.904628791754452	1.2095124934429942	1.0544266212204512	0.6994566112146865	1.2016548383460015	-0.09269100257088325	-30262.75415007588	-30474.943413720444	19.999573666684405
210000	-60951.16581983009	-219.0425084806038	-60732.12331134948	0.9988854967341722	0.9988854967341722	0.06522588417298165	5.261139086474288	1.7924608461332545	3.832358733337511	0.5651391354609188	3.4326470695100917	0.55003377491037	1.89993245017926	1.238190817043601	1.0982234563134126	0.7104509671773458	1.2014816221246467	-0.08861072127903724	-30256.835861956424	-30475.287449393058	18.957073880205932
220000	-60958.5438981441	-219.962464392867	-60738.58143375123	1.0003066808808931	1.0003066808808931	0.06666744449239659	3.8019654958434033	1.9289881727815488	3.8386460064074193	0.5575102882708206	3.4545109162816257	0.5638831397072599	1.8722337205854802	1.098394386989738	1.0557095509442176	0.6694105101467174	1.1494023317785538	-0.09374771871204386	-30263.31300597482	-30475.26842777641	17.42300736563943
230000	-60949.323648176636	-221.30293404175958	-60728.02071413488	1.0013615909035913	1.0013615909035913	0.06754740511179139	4.609074633559447	1.9289881727815488	3.779494330820452	0.5311794749968709	4.160754872141965	0.5648869738626088	1.8702260522747824	1.1521084866491238	1.1012433002324975	0.6744051442870418	1.1964282958492256	-0.1047703742228699	-30275.905907847886	-30452.11480628699	18.440356052167886
240000	-60951.551349779285	-220.14493067084254	-60731.40641910844	0.9995378191342784	0.9995378191342784	0.07481660377809968	4.407019065304038	1.9060941874923514	3.779494330820452	0.5151616224452473	3.9234942337602248	0.5733085398985869	1.8533829202028262	1.1493593690166122	1.1003143327073583	0.6724569636466198	1.2066704579409073	-0.08785143369384497	-30259.48842242795	-30471.91799668049	18.258158950007036
250000	-60954.55683406206	-221.14103422362388	-60733.41579983843	0.999268024522029	0.999268024522029	0.08388937584214548	4.134332514773469	1.8117815487447213	3.6712508008126012	0.5151616224452473	3.7449562357323822	0.5648627176824784	1.8702745646350432	1.1164139266416389	1.1148270026865923	0.6601237250170009	1.2120359596553218	-0.0631778717054672	-30248.828959537717	-30484.58684030071	17.03603682031583
260000	-60950.66986385654	-221.79087530574373	-60728.8789885508	1.0016620673250383	1.0016620673250383	0.08092549105575148	4.463477249265655	1.80089476896426	3.672764923815514	0.5151616224452473	3.5823484816289	0.5416573222089955	1.916685355582009	1.0391897858257444	1.0410709614486706	0.6444230183282686	1.102896055821883	-0.018446420022865666	-30239.067508526612	-30489.81148002419	16.950194097133846
270000	-60963.8554309535	-222.66847660380276	-60741.1869543497	1.0016295995015618	1.0016295995015618	0.0868301861191262	4.0810096438411945	1.8109013219859476	3.4643738656198653	0.5151616224452473	3.9222759791942616	0.5730207220461584	1.8539585559076832	0.9826851454420815	1.0119425719861619	0.6350340577367578	0.7939212854458836	-0.023590380134572653	-30233.490706855137	-30507.69624749457	16.547228279421038
280000	-60961.87358498889	-222.2611758695162	-60739.61240911938	1.0007630718446248	1.0007630718446248	0.08979379479408015	4.2883638706073155	1.8109013219859476	3.641282449286933	0.5151616224452473	3.964736825950043	0.5407432984118141	1.9185134031763718	0.997155161233639	1.0319426467711794	0.6207611670088924	0.7794101243050543	-0.09441959318838052	-30243.90453473976	-30495.707874379616	16.121761661266
290000	-60950.36793318562	-221.6123615564254	-60728.75557162919	0.9987935278434479	0.9987935278434479	0.09751099121077152	3.8469863551076147	1.83731964052088	3.747215593555896	0.5080640049564595	3.4522359946591545	0.550577927242179	1.898844145515642	0.9708360037261776	0.9931155035177988	0.6367423414129687	0.821671051951291	-0.10948490291995723	-30273.72398083835	-30455.03159079084	16.094782852088453
