# BEAST v1.7.0 Prerelease r4143, r4143
# Generated Sat Jul 29 21:04:39 BST 2017 [seed=1501358677692]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(mael_obsr)	tmrca(paralog_mael)	yule.birthRate	CP1+2.kappa	CP3.kappa	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	CP1+2.treeLikelihood	CP3.treeLikelihood	speciation
42520000	-18170.29741753594	-284.3739173077348	-17885.923500228208	3.951616015138929	1.0004886795626253	1.0825087199752312	0.7497608864617556	1.442812328306961	4.187526482526832	0.6825764983227657	5.218154572368973	0.5360434724441154	1.9279130551118169	0.14213382423056076	0.5058656434638673	0.1340187128884995	0.6207948932129266	-0.17269545475729464	-8786.411802182813	-9099.511698045393	-42.69454475612019
42530000	-18176.59641534671	-278.08563445938483	-17898.510780887325	4.250949629925449	0.989003804682567	0.989003804682567	1.0940135632315249	1.6875791477108513	3.9619298575696287	0.6276044537910687	3.6061200758274348	0.5334797997828125	1.9330404004344228	0.14524544376124263	0.28194541795127553	0.14165305917647056	0.3271181014622909	0.0531263636445881	-8799.597970270246	-9098.91281061708	-39.78792780471781
42540000	-18175.02475338867	-283.3489080963499	-17891.67584529232	3.576533988379111	0.9831314447295618	1.02835609215969	1.1619834685392794	1.6440741463783985	3.9619298575696287	0.7219919702353239	5.4989895584311945	0.571104452638631	1.857791094722786	0.14605692965841793	0.38847169035925877	0.14112427252860296	0.4255354963748675	-0.1435465071588455	-8790.587673538063	-9101.088171754258	-39.94815284766409
42550000	-18180.106505261563	-283.53517567424984	-17896.571329587314	4.389651397770775	1.0002733609244678	1.0310772841872826	0.8905336824758097	1.7080300570608902	4.4479707476787995	0.6346251427273681	3.882429608248525	0.5194785566267034	1.9610428867466407	0.12138147436173993	0.2859387046173564	0.12652531102861672	0.3145407267003356	0.0045128066394276856	-8793.1138159703	-9103.457513617013	-45.0964379537278
42560000	-18186.065006098677	-283.5621761539936	-17902.502829944682	4.515752037880519	1.007602733499755	1.007602733499755	0.8655815219947424	1.4806695503153895	3.7749649460774863	0.6606750152086512	3.0963986607473672	0.5077160554678425	1.984567889064362	0.1092671616257636	0.4210987818670013	0.11857072853163741	0.3557366551198071	-0.15648246785145137	-8792.021247939389	-9110.481582005294	-46.241503388397604
42570000	-18183.54553127032	-288.58980033063443	-17894.955730939684	4.224595170608188	0.9960845620567232	0.9960845620567232	1.2733357089703459	1.6851781201665035	4.351163797622551	0.6388661018589972	5.578775742286704	0.4872154295421236	2.0255691409158	0.13257513028943443	0.47847412839436804	0.13130064856698734	0.43450330948496435	-0.1941645241001331	-8816.393573895633	-9078.562157044053	-46.14018648672636
42580000	-18186.13872174711	-284.81467590851696	-17901.32404583859	4.2590979041200905	0.9917727141051574	0.9917727141051574	0.9701596675748679	1.6281899128499582	4.161906335089525	0.6724549065808751	5.305680524497448	0.5370096701610255	1.9259806596779965	0.1282994464843676	0.373663198829201	0.13015635664471892	0.3634202831049726	-0.21548362919156847	-8791.003045740381	-9110.321000098213	-42.98144562952888
42590000	-18172.726527994964	-286.2982429915089	-17886.428285003454	3.609234156813049	1.0091845657431757	1.0154783987870062	0.9836730760908848	1.571398220285785	3.714306089438813	0.6214667636018141	6.075845288172648	0.525240503284648	1.9495189934307515	0.12946099497014416	0.3873222976861646	0.13380328022755092	0.41607214797302927	-0.2180853346333057	-8786.42373220474	-9100.004552798715	-43.046995295264864
42600000	-18171.698493532207	-285.96446141416266	-17885.734032118045	4.47922997838981	1.010125174705363	1.0884639635486326	0.8950773270831948	1.571398220285785	3.8581758515521205	0.6905807524134733	4.38225818917226	0.5220242082022644	1.9559515835955188	0.13302554038698908	0.3664722813783396	0.1217647335619415	0.38918230226431694	-0.18845666723925347	-8775.112457289688	-9110.621574828356	-45.887741054698026
42610000	-18181.672239450814	-286.17513927376126	-17895.497100177054	4.150199459334459	0.9934360086560263	1.043867877225503	0.7578939914632202	1.5721694132623631	3.8148257090121622	0.730388812710185	5.175232953906965	0.5406608795472198	1.9186782409056085	0.12813360337096022	0.2504699400128751	0.1272942034615356	0.2705928707585058	0.11680691101950975	-8799.1579404043	-9096.339159772755	-45.10992351544429
