# BEAST v1.7.0 Prerelease r4143, r4143
# Generated Sat Jul 15 19:37:44 BST 2017 [seed=1500143864037]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(obscura_root)	tmrca(paralog_cuff)	yule.birthRate	CP1+2.kappa	CP3.kappa	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	CP1+2.treeLikelihood	CP3.treeLikelihood	speciation
530000	-22147.784230284717	-265.38045478306924	-21882.403775501647	2.691461815214216	0.9735545445780228	0.149483495462015	1.448477038220585	1.3880496474780126	3.085698561344017	0.8221407626378981	0.5743872165807016	0.05690080648056471	2.8861983870388714	2.9563517091611207	0.5857519858464234	2.6883829458365387	0.6247806030540238	0.17098550964444256	-12032.512204055398	-9849.891571446251	-29.3028440521602
540000	-22142.765859682433	-261.42383875015594	-21881.342020932276	2.7897437451958584	0.9950019117188058	0.1764054365121966	1.4246583555176058	1.4645554917871744	3.2092239175932	0.8548240910827567	0.5743872165807016	0.06671192901314421	2.8665761419737126	2.724285238673701	0.4704351665094762	2.4866588810507793	0.47335681201846835	0.09304728335114669	-12041.872715487973	-9839.469305444303	-28.98575235469057
550000	-22138.19735598016	-261.4632349289119	-21876.734121051246	2.843883368135045	1.0005676105878807	0.2057820396167769	1.3998535252107742	1.5670190140551674	3.3977979331026966	0.9389717495502707	0.5743872165807016	0.06671192901314421	2.8665761419737126	2.7131722679739556	0.5596770996562106	2.5947936942561722	0.5311138290021363	0.03780926122206391	-12020.062038702847	-9856.6720823484	-28.598152136712777
560000	-22127.433652486216	-262.48679640139164	-21864.946856084825	2.898409073324864	0.9786686328012763	0.17104141581426163	1.2648698182202207	1.391302774892707	3.4312929858639745	0.9259153278777771	0.5792667170865685	0.06746123077523189	2.8650775384495373	2.56615396956091	0.49634067052320563	2.528046289993137	0.45898788176763433	0.026055136296768314	-12016.499860636914	-9848.446995447912	-27.599484555811923
570000	-22138.486307382875	-265.3611935321312	-21873.125113850743	3.643536188225217	1.0051268558026745	0.17544946054016244	1.2872682445699113	1.4588463174608708	3.4322382662351716	0.8785455833783954	0.5792667170865685	0.06746123077523189	2.8650775384495373	2.308782227240005	0.5466654739873419	2.2526535418324722	0.4673018466372273	0.18455794297145336	-12031.841355367598	-9841.283758483145	-32.54339498982978
580000	-22129.878389332254	-264.99457913213115	-21864.883810200125	3.339565218145012	0.9971404514849731	0.15131648926822516	0.8723082371177918	1.4309543163751195	3.089132350059184	0.8216189400303197	0.5792667170865685	0.06373568940675833	2.8725286211864844	2.2169220276557704	0.4695066369845829	2.3206986550100313	0.40923700870755875	0.21197467890058633	-12020.539212887377	-9844.34459731275	-32.752815500695895
590000	-22131.580883304436	-265.1386903472775	-21866.442192957158	3.514550092806111	1.0047557920903252	0.1488048452638367	1.2522967412936106	1.4667124087024568	3.065444155914495	0.8934615628521027	0.5792667170865685	0.07168252680561187	2.8566349463887777	2.12303990272874	0.6621562116770228	2.196436275703909	0.48394079747955837	0.014148980933687326	-12009.98328668711	-9856.458906270049	-32.08589847477589
600000	-22138.309750804085	-265.01318932365655	-21873.296561480427	3.1230617501638256	0.9969745671591983	0.14984832904473125	1.056654268782443	1.4872113540952412	3.363873598667753	0.7861717835952029	0.5792667170865685	0.07168252680561187	2.8566349463887777	2.362536665958972	0.720017320983725	2.1871959668847527	0.6059983935994065	-0.013500817088863063	-12025.376573927362	-9847.919987553063	-31.968433515036907
610000	-22141.076645472636	-267.02111209760574	-21874.05553337503	3.3634379757803714	1.0068558521969178	0.12766393264546644	1.3046799180073452	1.582873443402845	3.2174878502044626	0.8926894021786385	0.5965905457958065	0.07168252680561187	2.8566349463887777	2.208908446521192	0.539105585937345	1.94319038158009	0.5311480662457764	-0.07754975897628638	-12036.582723668176	-9837.472809706856	-34.07951337509732
620000	-22138.590170419546	-265.1894858369674	-21873.40068458258	2.9755527175481	1.0032009896735612	0.1534258409596908	1.0198367531750774	1.4243728096811097	3.4583334963011074	0.8496144128818601	0.5965905457958065	0.06772889132227784	2.864542217355446	2.3248654112420173	0.5765511495047729	2.2302967322606553	0.558674987278921	0.08791906604752191	-12023.209772560716	-9850.19091202186	-32.393289247443775
630000	-22137.91096481993	-261.43668332388756	-21876.47428149604	2.9338843893982434	1.0002950368028138	0.19902170243777625	1.2690622301436387	1.501788804933983	3.260683516666567	0.7713387544397872	0.5965905457958065	0.06772889132227784	2.864542217355446	2.419013008491495	0.5878805385481364	2.355285790789498	0.514712242310967	0.23692895610465134	-12013.72313246691	-9862.75114902913	-28.852913828942523
