# BEAST v1.7.0 Prerelease r4143, r4143
# Generated Wed Jul 26 15:53:27 BST 2017 [seed=1501080806070]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(paralog_vret)	tmrca(vret_obsr)	yule.birthRate	CP1+2.kappa	CP3.kappa	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	CP1+2.treeLikelihood	CP3.treeLikelihood	speciation
550000	-39698.09101798608	-275.33391925553013	-39422.75709873055	3.223067115822426	1.1444307329495464	0.9959183902492775	1.4023727473988912	1.792914570402037	3.374973102104897	0.9256418322282436	4.817867351212046	0.6198514408548761	1.7602971182902478	0.16272967010660497	0.4788080485283918	0.17362230403928522	0.4791137123899407	-0.11882784162093682	-20701.509023031234	-18721.24807569932	-34.09079179842713
560000	-39712.72236514037	-277.6469994553436	-39435.07536568503	3.1937437098070323	1.2536576943289595	1.0004034124260168	1.1739416391918438	1.943767786697829	3.136154453751091	0.9566486015404833	5.186696712112949	0.6408566261528504	1.7182867476942991	0.1626295341288077	0.5619740772240427	0.16545841924530125	0.4364801505566891	-0.1341845147456881	-20696.53305182334	-18738.542313861686	-35.45125976766994
570000	-39720.638553144876	-277.59170482066645	-39443.04684832421	3.2139469299666263	1.1621663484420424	1.0052947099416703	1.0213418777233507	2.077839919031776	3.136154453751091	0.79041237051917	5.626716828495216	0.6388150746734115	1.722369850653177	0.16642322530992432	0.44313573197132905	0.16877952110686223	0.389763269634667	-0.03857041111661415	-20713.906945955896	-18729.13990236831	-35.005170670444585
580000	-39724.71830206526	-275.0241286721118	-39449.694173393145	3.044303539607794	1.2238603062537639	1.0004380170171654	1.090668311333708	1.6964196645659655	3.2767263505695907	0.9500621721402248	4.888565381645564	0.6515266810578872	1.6969466378842255	0.18784813894253807	0.41284397868872635	0.1818393144458563	0.3911953392482813	-0.03059745303747141	-20720.778907277105	-18728.915266116044	-33.937507975341376
590000	-39711.147573932394	-276.3783509947477	-39434.76922293765	2.9346230083021583	1.1101650186652914	0.9877926877819587	1.493031736807737	1.7556652189910935	3.305505223924717	0.9513722410282694	4.803902003300362	0.6466571086842117	1.7066857826315767	0.1806837978760962	0.4241642372181118	0.18199533112384086	0.38352044803732227	-0.1760317550632196	-20719.15876606732	-18715.610456870327	-34.65606346186821
600000	-39700.05500034194	-272.8480831493588	-39427.20691719258	3.0132744201633543	1.1175136430159944	1.0069698480862068	1.4992091113901742	1.8387635294184137	3.313955161503557	0.9388447458577764	4.6171762966645735	0.6243275582944322	1.7513448834111356	0.1963980703858757	0.4652810494142718	0.1887300432951772	0.4266830183826494	-0.21647729047167774	-20711.305059115348	-18715.90185807723	-31.848322385167478
610000	-39696.90347435145	-273.4291221717879	-39423.47435217966	2.713886842111916	1.0910029373236236	1.0134282905287921	1.4342842423319049	1.7839356414287437	3.1871852427542495	0.8400410578129848	5.027907267384581	0.6302826434596585	1.739434713080683	0.18810498553731256	0.4281285216467051	0.185001037329028	0.3798314672172937	-0.10436659596719791	-20706.875926505043	-18716.598425674616	-31.3248194087239
620000	-39699.53684888648	-270.55074271840823	-39428.98610616807	2.6666053901538898	1.2260344622254513	0.9908962824448659	1.2131814780968777	1.8526476077844671	3.093815947539631	0.8400410578129848	4.4427369713743925	0.645807093270873	1.708385813458254	0.20763115706837434	0.46482418294122746	0.204509218129091	0.44618705769119077	-0.025440696439514496	-20698.68319815738	-18730.302908010686	-30.016277610968558
630000	-39697.0721344742	-275.0020878108819	-39422.07004666331	2.8414562139195767	1.2361107061215162	1.0013400272310302	1.0160257780413067	1.8242767101444655	2.9837440953583805	0.8400410578129848	5.131112066039802	0.6448684406056391	1.7102631187887218	0.17669128588536362	0.4280528402435271	0.18015490550651952	0.45811685572944505	0.0937115740371941	-20707.276780844775	-18714.793265818535	-33.64506203787195
640000	-39695.283166790345	-279.8625309740557	-39415.42063581629	3.320623101556962	1.1200105632593251	1.0114910506542742	1.2544090256138765	1.7756534111612918	3.1350264646929284	0.8936714738878274	5.241218145595761	0.6256265267036051	1.7487469465927898	0.16399434428836815	0.3573204621362781	0.16825345181438098	0.34510387565558137	0.13558015809319965	-20706.286635306136	-18709.13400051016	-37.69804766747749
