"accession"	"species"	"organ"	"sex"	"gene"	"genelength"	"reads"	"relex"	"normalized"
"38"	"DRR0055160"	"Dmir"	"abdomens"	"male"	"Mael1Dmir"	1157	88	0.0760587726879862	0.00293313682523656
"39"	"DRR0055160"	"Dmir"	"abdomens"	"male"	"Mael2Dmir"	1317	569	0.43204252088079	0.0166613236485165
"40"	"DRR0055160"	"Dmir"	"abdomens"	"male"	"Tejas1Dmir"	1413	133	0.0941259731068648	0.00362988184234244
"41"	"DRR0055160"	"Dmir"	"abdomens"	"male"	"Tejas2Dmir"	1797	291	0.161936560934891	0.00624493498177786
"42"	"DRR0055160"	"Dmir"	"abdomens"	"male"	"Vret1Dmir"	2088	384	0.183908045977011	0.0070922451552742
"43"	"DRR0055160"	"Dmir"	"abdomens"	"male"	"Vret2Dmir"	2106	269	0.127730294396961	0.00492580167880111
"44"	"DRR0055160"	"Dmir"	"abdomens"	"male"	"Ago2abDmir"	2283	3445	1.508979413053	0.058192407378258
"45"	"DRR0055160"	"Dmir"	"abdomens"	"male"	"Ago2cDmir"	2283	5052	2.21287779237845	0.0853376029245165
"46"	"DRR0055160"	"Dmir"	"abdomens"	"male"	"Ago2dDmir"	2283	637	0.279018834866404	0.0107601055152251
"47"	"DRR0055160"	"Dmir"	"abdomens"	"male"	"Ago2eDmir"	2286	702	0.307086614173228	0.0118425136869318
"48"	"DRR0055160"	"Dmir"	"abdomens"	"male"	"rpl32Dmir"	405	10502	25.9308641975309	1
"49"	"DRR0055161"	"Dmir"	"abdomens"	"male"	"ArmiDmir"	3534	1149	0.325127334465195	0.011648670422718
"50"	"DRR0055161"	"Dmir"	"abdomens"	"male"	"Arx1Dmir"	492	169	0.34349593495935	0.0123067811092124
"51"	"DRR0055161"	"Dmir"	"abdomens"	"male"	"Arx2Dmir"	498	43	0.0863453815261044	0.0030935845291996
"52"	"DRR0055161"	"Dmir"	"abdomens"	"male"	"Cuff1Dmir"	1122	188	0.167557932263815	0.00600326986613986
"53"	"DRR0055161"	"Dmir"	"abdomens"	"male"	"Cuff2Dmir"	1125	274	0.243555555555556	0.00872611464968153
"54"	"DRR0055161"	"Dmir"	"abdomens"	"male"	"Mael1Dmir"	1157	103	0.0890233362143475	0.00318953035799812
"55"	"DRR0055161"	"Dmir"	"abdomens"	"male"	"Mael2Dmir"	1317	521	0.395596051632498	0.0141734254167694
"56"	"DRR0055161"	"Dmir"	"abdomens"	"male"	"Tejas1Dmir"	1413	101	0.0714791224345364	0.00256095581970871
"57"	"DRR0055161"	"Dmir"	"abdomens"	"male"	"Tejas2Dmir"	1797	279	0.155258764607679	0.00556261497400125
"58"	"DRR0055161"	"Dmir"	"abdomens"	"male"	"Vret1Dmir"	2088	379	0.181513409961686	0.00650326707665276
"59"	"DRR0055161"	"Dmir"	"abdomens"	"male"	"Vret2Dmir"	2106	187	0.0887939221272555	0.00318131090424084
"60"	"DRR0055161"	"Dmir"	"abdomens"	"male"	"Ago2abDmir"	2283	2449	1.07271134472186	0.03843312938892
"61"	"DRR0055161"	"Dmir"	"abdomens"	"male"	"Ago2cDmir"	2283	3529	1.54577310556286	0.0553819982088603
"62"	"DRR0055161"	"Dmir"	"abdomens"	"male"	"Ago2dDmir"	2283	465	0.203679369250986	0.0072974296308076
"63"	"DRR0055161"	"Dmir"	"abdomens"	"male"	"Ago2eDmir"	2286	652	0.285214348206474	0.0102186669341492
"64"	"DRR0055161"	"Dmir"	"abdomens"	"male"	"rpl32Dmir"	405	11304	27.9111111111111	1
"65"	"DRR0055162"	"Dmir"	"accessory_glands"	"male"	"ArmiDmir"	3534	23	0.00650820599886814	0.000777299743303331
"66"	"DRR0055162"	"Dmir"	"accessory_glands"	"male"	"Arx1Dmir"	492	153	0.310975609756098	0.0371409973315304
"67"	"DRR0055162"	"Dmir"	"accessory_glands"	"male"	"Arx2Dmir"	498	38	0.0763052208835341	0.00911342213442387
"68"	"DRR0055162"	"Dmir"	"accessory_glands"	"male"	"Cuff1Dmir"	1122	1	0.00089126559714795	0.000106447232923893
"69"	"DRR0055162"	"Dmir"	"accessory_glands"	"male"	"Cuff2Dmir"	1125	5	0.00444444444444444	0.000530816868180478
"70"	"DRR0055162"	"Dmir"	"accessory_glands"	"male"	"Mael1Dmir"	1157	2	0.0017286084701815	0.000206454270251698
"71"	"DRR0055162"	"Dmir"	"accessory_glands"	"male"	"Mael2Dmir"	1317	29	0.0220197418375095	0.00262990134007412
"72"	"DRR0055162"	"Dmir"	"accessory_glands"	"male"	"Tejas1Dmir"	1413	2	0.00141542816702052	0.00016904995801926
"73"	"DRR0055162"	"Dmir"	"accessory_glands"	"male"	"Tejas2Dmir"	1797	36	0.0200333889816361	0.0023926636796115
"74"	"DRR0055162"	"Dmir"	"accessory_glands"	"male"	"Vret1Dmir"	2088	1	0.000478927203065134	5.72000935539308e-05
"75"	"DRR0055162"	"Dmir"	"accessory_glands"	"male"	"Vret2Dmir"	2106	44	0.0208926875593542	0.00249529297007917
"76"	"DRR0055162"	"Dmir"	"accessory_glands"	"male"	"Ago2abDmir"	2283	95	0.0416119141480508	0.00496986883808923
"77"	"DRR0055162"	"Dmir"	"accessory_glands"	"male"	"Ago2cDmir"	2283	1260	0.551905387647832	0.0659161551157098
"78"	"DRR0055162"	"Dmir"	"accessory_glands"	"male"	"Ago2dDmir"	2283	130	0.0569426193604906	0.00680087314685895
"79"	"DRR0055162"	"Dmir"	"accessory_glands"	"male"	"Ago2eDmir"	2286	3	0.00131233595800525	0.000156737264226519
"80"	"DRR0055162"	"Dmir"	"accessory_glands"	"male"	"rpl32Dmir"	405	3391	8.37283950617284	1
"81"	"DRR0055163"	"Dmir"	"accessory_glands"	"male"	"ArmiDmir"	3534	29	0.00820599886813809	0.00132937181663837
"82"	"DRR0055163"	"Dmir"	"accessory_glands"	"male"	"Arx1Dmir"	492	66	0.134146341463415	0.0217317073170732
"83"	"DRR0055163"	"Dmir"	"accessory_glands"	"male"	"Arx2Dmir"	498	0	0	0
"84"	"DRR0055163"	"Dmir"	"accessory_glands"	"male"	"Cuff1Dmir"	1122	3	0.00267379679144385	0.000433155080213904
"85"	"DRR0055163"	"Dmir"	"accessory_glands"	"male"	"Cuff2Dmir"	1125	5	0.00444444444444444	0.00072
"86"	"DRR0055163"	"Dmir"	"accessory_glands"	"male"	"Mael1Dmir"	1157	0	0	0
"87"	"DRR0055163"	"Dmir"	"accessory_glands"	"male"	"Mael2Dmir"	1317	29	0.0220197418375095	0.00356719817767654
